,Pair Mass,Muon 1 Energy,Muon 2 Energy,Muon 1 pT,Muon 2 pT,Muon 1 Eta,Muon 2 Eta,Muon 1 Phi,Muon 2 Phi,Muon 1 Rapidity,Muon 2 Rapidity
100202,5.67041,6.65527,5.12723,4.94941,4.91872,-0.807898,0.289404,-1.64914,-1.54617,-0.807745,0.289339
100203,14.327,6.65527,11.6929,4.94941,3.18279,-0.807898,1.97526,-1.64914,2.84718,-0.807745,1.97473
100204,14.3739,6.65527,10.5529,4.94941,2.55224,-0.807898,2.09758,-1.64914,-1.66041,-0.807745,2.09674
100205,9.77051,5.12723,11.6929,4.91872,3.18279,0.289404,1.97526,-1.54617,2.84718,0.289339,1.97473
100206,7.09322,5.12723,10.5529,4.91872,2.55224,0.289404,2.09758,-1.54617,-1.66041,0.289339,2.09674
100207,3.42886,11.6929,10.5529,3.18279,2.55224,1.97526,2.09758,2.84718,-1.66041,1.97473,2.09674
100208,6.29334,12.2874,15.7439,9.25983,7.16878,0.788039,1.42344,-0.815122,-1.23294,0.787996,1.42334
100209,11.8025,12.2874,3.06291,9.25983,3.0439,0.788039,-0.106211,-0.815122,2.38266,0.787996,-0.106147
100210,11.7779,12.2874,8.63584,9.25983,2.84653,0.788039,1.77455,-0.815122,2.06633,0.787996,1.7739
100211,11.9928,15.7439,3.06291,7.16878,3.0439,1.42344,-0.106211,-1.23294,2.38266,1.42334,-0.106147
100212,9.19935,15.7439,8.63584,7.16878,2.84653,1.42344,1.77455,-1.23294,2.06633,1.42334,1.7739
100213,6.59139,3.06291,8.63584,3.0439,2.84653,-0.106211,1.77455,2.38266,2.06633,-0.106147,1.7739
100214,12.3058,7.04289,18.8621,5.53416,3.64496,-0.722399,-2.32747,-0.0165419,2.75796,-0.722286,-2.32706
100215,7.19557,7.04289,2.96112,5.53416,2.87938,-0.722399,-0.234974,-0.0165419,-2.78989,-0.722286,-0.234819
100216,13.3742,7.04289,13.4603,5.53416,2.75976,-0.722399,2.26704,-0.0165419,-0.733559,-0.722286,2.26632
100217,8.15782,18.8621,2.96112,3.64496,2.87938,-2.32747,-0.234974,2.75796,-2.78989,-2.32706,-0.234819
100218,30.9793,18.8621,13.4603,3.64496,2.75976,-2.32747,2.26704,2.75796,-0.733559,-2.32706,2.26632
100219,10.0462,2.96112,13.4603,2.87938,2.75976,-0.234974,2.26704,-2.78989,-0.733559,-0.234819,2.26632
100220,6.29008,7.30343,9.05519,5.75283,4.8696,-0.718482,-1.23169,2.8454,1.7169,-0.718378,-1.23149
